"state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Ethnic_Description","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation","row_index"
"mi",1,41,0,"Democratic","","","Democratic",119000,"Residential",271014,0,328910
"nj",1,59,0,"Democratic","European","Irish","Democratic & Independent",129000,"Apartment",242633,1,119989
"tx",0,67,0,"Democratic","European","English/Welsh","Democratic",32000,"Residential",131971,0,192613
"fl",1,51,0,"Republican","European","English/Welsh","Republican",250000,"Residential",62500,0,291766
"il",1,44,1,"Democratic","European","Polish","Democratic & Independent",148000,"Residential",394256,0,341030
"ma",1,34,0,"Democratic","European","English/Welsh","Democratic",149000,"Residential",481830,0,722
"ut",1,82,0,"Republican","European","German","Republican",30000,"Residential",426878,0,380197
"pa",1,27,1,"Republican","European","English/Welsh","Democratic & Republican",100000,"Residential",146329,0,247682
"il",1,70,0,"Non-Partisan","East and South Asian","Chinese","Republican & Independent",96000,"Residential",200452,0,340986
"ks",1,19,0,"Non-Partisan","European","English/Welsh","Republican & Independent",62000,"Residential",87856,0,73006
"ny",1,65,1,"Republican","East and South Asian","Chinese","Democratic & Republican",114673,"Apartment",281249,0,129343
"mi",0,23,0,"Democratic","European","English/Welsh","Democratic",135000,"Residential",203253,0,54863
"md",1,66,0,"Republican","European","English/Welsh","Republican",90000,"Residential",245762,1,260751
"ca",1,38,1,"Non-Partisan","","","Democratic & Independent",166351,"Residential",1215381,0,97163
"ri",1,30,0,"Non-Partisan","Hispanic and Portuguese","Portuguese","Independent",156000,"Apartment",303751,0,114572
"wv",0,48,0,"Republican","European","English/Welsh","Republican",NA,"Unknown",NA,0,21394
"ca",1,61,0,"Non-Partisan","","","Democratic & Independent",250000,"Apartment",3226145,1,212911
"pa",1,NA,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",60000,"Residential",184939,1,251052
"fl",1,35,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",22000,"Residential",48877,1,285781
"al",1,22,0,"Republican","European","English/Welsh","Republican",141000,"Residential",208157,0,40151
"md",1,NA,1,"Republican","European","Irish","Republican",65000,"Residential",234158,0,258545
"ia",0,24,1,"Democratic","European","English/Welsh","Democratic",66749,"Unknown",197221,0,58245
"ny",1,57,1,"Republican","European","Italian","Republican & Independent",81000,"Residential",72783,0,246212
"tx",0,56,1,"Republican","European","Slovakian","Republican",71000,"Residential",152563,0,366010
"tx",1,36,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",46000,"Residential",181442,0,362159
"in",1,84,1,"Republican","European","English/Welsh","Republican & Independent",58000,"Residential",256121,1,321329
"nc",1,70,0,"Democratic","European","Irish","Democratic",56000,"Residential",236254,0,269055
"tx",1,46,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Republican",183000,"Residential",239999,1,368684
"ga",0,39,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",58593,"Unknown",155499,0,31692
"mn",0,28,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",59037,"Apartment",159210,0,177123
"oh",1,47,0,"Republican","European","English/Welsh","Republican",154000,"Residential",257405,0,311391
"ca",1,62,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Independent",97280,"Apartment",397752,0,208503
"va",1,30,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",19000,"Residential",89473,0,19185
"nc",1,71,1,"Republican","European","Scots","Republican",32000,"Residential",191435,0,268543
"al",1,62,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",96000,"Residential",191724,0,298151
"il",1,49,1,"Non-Partisan","European","Italian","Independent",73000,"Residential",343854,0,341788
"in",0,42,1,"Democratic","Other","Arab","Democratic",80142,"Apartment",156982,0,168100
"nm",1,53,1,"Republican","Other","Native American","Democratic & Republican & Independent",25000,"Residential",78040,1,385744
"ca",1,63,0,"Republican","European","French","Republican",82812,"Apartment",449999,0,210514
"tx",0,51,0,"Democratic","European","English/Welsh","Democratic",174000,"Residential",641630,0,85534
"ca",1,32,1,"Republican","European","Scots","Republican",70283,"Unknown",261445,0,105955
"co",1,53,0,"Democratic","Other","Byelorussian","Democratic & Independent",47000,"Residential",534464,0,375796
"ga",1,54,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",43000,"Residential",256199,0,281585
"ny",0,65,0,"Democratic","European","English/Welsh","Democratic & Independent",85661,"Residential",159881,1,247190
"nc",1,27,1,"Non-Partisan","","","Democratic & Independent",145000,"Residential",215389,0,270712
"mo",1,50,0,"Republican","European","English/Welsh","Republican",160000,"Residential",235424,0,70003
"ar",1,40,0,"Republican","European","English/Welsh","Republican",105000,"Residential",NA,0,76104
"mn",1,55,1,"Republican","European","Irish","Republican",114000,"Residential",329977,1,336603
"va",0,33,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",64736,"Unknown",174478,0,19641
"wa",1,66,0,"Republican","European","English/Welsh","Republican",120000,"Residential",559553,1,409264
"nc",0,28,1,"Non-Partisan","European","English/Welsh","Republican & Independent",53749,"Unknown",118980,0,23224
"ca",1,26,1,"Non-Partisan","East and South Asian","Chinese","Independent",120000,"Residential",795406,0,391412
"il",0,52,1,"Democratic","European","English/Welsh","Democratic & Independent",8000,"Apartment",332277,0,181438
"oh",1,98,1,"Democratic","European","Hungarian","Democratic",124000,"Residential",124128,1,316396
"ca",1,65,0,"Republican","European","Irish","Republican",95108,"Unknown",1000000,0,100222
"mi",0,25,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",56000,"Apartment",156866,0,171858
"ny",1,27,0,"Republican","European","Scots","Republican",33000,"Residential",172285,0,247046
"ca",1,41,1,"Non-Partisan","East and South Asian","Vietnamese","Independent",17000,"Apartment",583999,0,211199
"va",1,46,0,"Democratic","","","Democratic",250000,"Residential",745423,0,258017
"in",0,79,1,"Republican","","","Democratic & Republican",118639,"Unknown",224137,0,52459
"ga",1,32,0,"Non-Partisan","Other","Native American","Independent",227000,"Apartment",304354,0,149044
"ca",1,44,0,"Democratic","European","French","Democratic & Republican",142000,"Residential",448027,0,404152
"mo",1,32,0,"Republican","European","Irish","Republican",108000,"Residential",117437,0,70012
"il",1,44,1,"Republican","European","English/Welsh","Republican & Independent",73976,"Apartment",114864,0,183201
"wa",1,56,0,"Democratic","European","Dutch (Netherlands)","Democratic",211320,"Residential",805472,0,108530
"tx",1,47,0,"Republican","European","Italian","Republican",250000,"Residential",713252,0,360976
"mi",1,43,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",65084,"Unknown",135048,0,55149
"co",1,46,0,"Non-Partisan","","","Democratic & Independent",250000,"Residential",924206,0,376950
"ny",0,30,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",NA,"Apartment",NA,0,121918
"wa",1,55,1,"Republican","European","English/Welsh","Republican",94307,"Residential",625000,0,109821
"wv",1,84,0,"Republican","European","German","Republican & Independent",78000,"Residential",107737,1,21445
"tx",0,25,1,"Non-Partisan","European","English/Welsh","Independent",74000,"Residential",121098,0,364572
"wa",0,29,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",50999,"Apartment",208620,0,222270
"tx",0,35,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Republican",58000,"Residential",161839,0,374657
"oh",1,52,0,"Non-Partisan","European","Greek","Republican & Independent",166666,"Residential",460483,1,49181
"ny",1,51,1,"Republican","European","Italian","Republican & Independent",250000,"Residential",436255,0,240253
"wa",1,55,1,"Democratic","European","Irish","Democratic",235000,"Residential",546433,1,412039
"il",1,27,1,"Democratic","European","English/Welsh","Democratic",82000,"Residential",247768,0,65466
"ca",0,18,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",102133,"Unknown",457499,0,104724
"tx",1,21,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Independent",108037,"Unknown",286314,0,85253
"mo",1,55,1,"Republican","European","English/Welsh","Republican",202000,"Residential",297394,0,350960
"mo",0,70,0,"Republican","","","Republican",78288,"Residential",162765,0,69831
"dc",1,45,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",168000,"Residential",779701,0,257406
"pa",1,67,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",74000,"Residential",183390,0,254910
"ca",1,43,0,"Republican","","","Republican",114000,"Residential",415362,0,403881
"ms",1,40,1,"Republican","European","English/Welsh","Republican",75955,"Apartment",203570,0,161595
"nj",1,76,0,"Non-Partisan","European","German","Independent",63000,"Apartment",237901,0,118975
"ca",1,48,1,"Republican","Hispanic and Portuguese","Hispanic","Republican & Independent",145000,"Residential",629116,0,96960
"vt",1,23,0,"Non-Partisan","European","English/Welsh","Republican & Independent",135000,"Residential",403585,0,230089
"oh",1,52,0,"Non-Partisan","European","Scots","Independent",68000,"Residential",112474,1,311392
"ny",1,88,1,"Republican","Other","Russian (omitting former Soviet States)","Republican",38000,"Residential",208318,1,243755
"il",1,75,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Independent",185000,"Residential",373617,1,345656
"ny",1,86,0,"Independence","European","English/Welsh","Independent",31000,"Residential",237500,1,9366
"fl",1,38,0,"Democratic","European","English/Welsh","Democratic & Independent",78882,"Apartment",276428,0,158236
"tx",1,75,1,"Democratic","European","English/Welsh","Democratic",62000,"Duplex",309473,0,194517
"ms",0,29,1,"Non-Partisan","Likely African-American","Likely Af-Am (Modeled)","Independent",42673,"Apartment",92691,0,161725
"tx",1,44,0,"Democratic","European","Dutch (Netherlands)","Democratic & Republican",74000,"Residential",200981,1,371661
"az",0,70,0,"Democratic","European","German","Democratic",71070,"Unknown",188792,0,91017
"in",1,74,1,"Non-Partisan","European","Irish","Independent",32000,"Residential",117841,0,52968
"co",1,78,1,"Democratic","European","English/Welsh","Democratic",36000,"Residential",379652,0,377137
"oh",1,63,1,"Republican","","","Republican",10000,"Residential",81583,0,316617
"in",1,34,1,"Republican","European","Irish","Republican",123610,"Residential",312837,0,51317
"la",0,44,1,"Democratic","European","English/Welsh","Democratic & Independent",NA,"Unknown",NA,0,74272
"ny",0,34,0,"Working Family Party","European","Italian","Democratic & Independent",86160,"Apartment",432758,0,123962
"al",1,55,0,"Democratic","European","English/Welsh","Democratic",87004,"Unknown",198471,0,41478
"ma",1,96,1,"Non-Partisan","Other","Russian (omitting former Soviet States)","Independent",215505,"Residential",701428,0,227085
"mo",0,32,0,"Democratic","European","English/Welsh","Democratic",99000,"Residential",164483,0,69135
"wi",1,36,1,"Democratic","European","Austrian","Democratic",30908,"Unknown",90999,0,173878
"tx",0,70,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",29000,"Residential",133344,0,372358
"md",1,41,1,"Non-Partisan","","","Independent",160000,"Residential",718070,0,262115
"oh",1,78,0,"Democratic","European","English/Welsh","Democratic",73000,"Residential",351131,1,310937
"ks",1,57,1,"Republican","European","English/Welsh","Republican",161000,"Residential",87500,0,72985
"mi",1,55,0,"Democratic","European","German","Democratic",233000,"Residential",357293,1,322697
"tn",1,45,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic & Independent",134000,"Residential",283992,0,303758
"il",1,28,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Independent",87000,"Residential",285384,0,345551
"ut",1,53,0,"Republican","European","English/Welsh","Republican",68420,"Apartment",123089,0,198452
"mi",1,64,1,"Republican","European","French","Democratic & Republican",99000,"Residential",302220,0,325316
"va",1,45,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",240000,"Residential",759045,0,257824
"wa",1,59,0,"Republican","European","Swedish","Republican",119000,"Condominium",812106,0,410210
"ma",1,27,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",85260,"Apartment",378787,0,113287
"pa",1,42,1,"Democratic","European","English/Welsh","Democratic",250000,"Residential",433016,0,255499
"tx",0,33,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",193000,"Residential",396723,0,372877
"tx",0,22,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",14000,"Residential",174377,0,78254
"ar",1,57,0,"Democratic","European","English/Welsh","Democratic",74000,"Residential",81735,0,356759
"ks",1,88,1,"Republican","European","German","Republican",41000,"Residential",187500,0,353033
"hi",1,64,0,"Non-Partisan","European","English/Welsh","Independent",131000,"Condominium",212500,0,405638
"oh",0,25,0,"Non-Partisan","European","Austrian","Independent",60000,"Residential",138655,0,48973
"va",1,91,1,"Democratic","European","English/Welsh","Democratic",112000,"Residential",184426,1,266503
"oh",1,65,1,"Republican","European","English/Welsh","Republican & Independent",22000,"Residential",75472,1,314937
"mi",0,49,0,"Democratic","European","English/Welsh","Democratic",9000,"Apartment",47499,0,171425
"nj",0,34,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Democratic & Republican & Independent",141000,"Residential",410230,0,233544
"ca",1,55,0,"Republican","European","Scots","Republican",87499,"Residential",318381,0,105091
"wa",1,29,1,"Republican","European","English/Welsh","Republican",250000,"Residential",704535,0,412311
"tn",1,59,1,"Non-Partisan","European","German","Independent",95000,"Residential",168093,1,303361
"ct",1,32,0,"Democratic","European","English/Welsh","Democratic",163635,"Apartment",419777,0,115891
"nc",1,77,0,"Republican","European","German","Republican",120298,"Apartment",292064,0,144303
"mn",1,37,1,"Democratic","European","English/Welsh","Democratic",24000,"Residential",57565,0,338320
"tx",0,20,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Republican",250000,"Apartment",250743,0,190210
"fl",0,42,0,"Non-Partisan","European","English/Welsh","Independent",71749,"Residential",172252,0,37236
"me",1,41,1,"Non-Partisan","European","English/Welsh","Independent",136000,"Residential",246764,0,229718
"md",1,59,1,"Non-Partisan","European","English/Welsh","Independent",151503,"Apartment",425000,0,139939
"ca",0,75,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",187000,"Residential",565227,0,395049
"ca",1,40,1,"Republican","Hispanic and Portuguese","Hispanic","Democratic & Republican",164540,"Apartment",621022,0,207590
"md",0,51,0,"Republican","European","English/Welsh","Republican",67000,"Residential",63184,0,261661
"ny",1,42,0,"Republican","Hispanic and Portuguese","Hispanic","Democratic & Republican",105555,"Apartment",736606,0,131194
"md",1,54,1,"Republican","European","English/Welsh","Republican",42000,"Residential",115427,0,262372
"il",1,73,1,"Republican","","","Republican",98660,"Residential",212500,1,343294
"il",0,29,0,"Non-Partisan","European","English/Welsh","Republican & Independent",94000,"Residential",259309,1,347166
"fl",1,58,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",56000,"Apartment",198235,0,158423
"mn",1,19,1,"Democratic","European","English/Welsh","Democratic & Republican",145000,"Residential",345061,0,62324
"mi",1,60,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",32812,"Apartment",73999,0,171449
"ky",0,28,1,"Republican","European","German","Republican",49106,"Apartment",118711,0,162791
"nc",0,44,1,"Republican","European","Irish","Democratic & Republican & Independent",151000,"Residential",367504,1,272019
"ca",1,63,0,"Republican","Other","Arab","Republican & Independent",122000,"Residential",764796,0,396529
"al",1,58,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",11666,"Residential",62500,0,298056
"ny",1,36,1,"Non-Partisan","Other","Arab","Democratic & Independent",64000,"Apartment",126785,0,130044
"ca",1,30,1,"Democratic","European","English/Welsh","Democratic & Independent",112499,"Unknown",620934,1,98610
"va",0,69,1,"Non-Partisan","Likely African-American","Likely Af-Am (Modeled)","Democratic & Independent",100993,"Triplex",267417,0,141454
"oh",1,50,1,"Non-Partisan","European","English/Welsh","Independent",90131,"Unknown",230057,0,49199
"nc",1,38,1,"Non-Partisan","European","English/Welsh","Republican & Independent",77000,"Residential",188013,0,272070
"ny",1,43,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",74249,"Unknown",295832,0,7736
"nh",1,29,1,"Non-Partisan","European","English/Welsh","Independent",24000,"Residential",244021,0,2441
"tx",1,76,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",94000,"Residential",245109,0,362705
"nj",1,32,1,"Republican","European","English/Welsh","Republican",115569,"Residential",287837,0,5797
"mi",1,24,0,"Democratic","European","Irish","Democratic",77000,"Residential",121796,0,325382
"ca",0,71,0,"Republican","East and South Asian","Korean","Republican",213760,"Unknown",943470,0,96084
"az",0,63,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",112649,"Apartment",401072,0,199178
"pa",1,27,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",60000,"Residential",153556,0,254288
"fl",0,64,0,"Non-Partisan","European","Irish","Independent",21000,"Residential",85760,0,37227
"tn",0,45,1,"Non-Partisan","European","English/Welsh","Independent",27000,"Residential",78013,1,303328
"va",1,35,1,"Democratic","European","Dutch (Netherlands)","Democratic",207000,"Residential",662045,0,263330
"hi",1,57,0,"Non-Partisan","European","English/Welsh","Independent",143000,"Condominium",559402,0,406082
"pa",0,32,0,"Democratic","European","Italian","Democratic",94000,"Residential",647305,0,248656
"ks",1,38,1,"Democratic","European","English/Welsh","Democratic",194000,"Residential",503537,0,71723
"ca",1,46,1,"Democratic","European","English/Welsh","Democratic & Independent",250000,"Residential",875000,1,392696
"ca",1,63,0,"Non-Partisan","European","English/Welsh","Independent",NA,"Unknown",NA,0,103859
"il",1,60,0,"Republican","","","Republican",95000,"Residential",317310,0,344701
"pa",1,69,1,"Republican","European","English/Welsh","Republican",12000,"Residential",145832,0,11699
"ca",1,53,1,"Democratic","European","Scots","Democratic",67499,"Apartment",644344,0,215471
"nc",1,64,1,"Democratic","European","English/Welsh","Democratic",79895,"Unknown",335203,0,25593
"wv",0,81,0,"Republican","European","German","Republican",28570,"Residential",87500,1,267892
"nc",1,80,1,"Republican","European","Dutch (Netherlands)","Republican & Independent",58815,"Residential",152082,1,22864
"il",0,30,0,"Non-Partisan","European","English/Welsh","Republican & Independent",80000,"Residential",130283,1,348485
"ca",1,50,1,"Democratic","European","English/Welsh","Democratic & Republican & Independent",140000,"Residential",639233,0,394454
"sc",1,64,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",158000,"Apartment",406333,0,145453
"tx",1,65,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Republican",84000,"Residential",264435,0,371845
"ca",1,49,1,"Republican","European","English/Welsh","Republican",86000,"Residential",378317,1,393628
"nj",0,61,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",190384,"Apartment",517156,0,117544
"tx",1,82,0,"Republican","European","Irish","Republican",43000,"Residential",580423,0,366614
"dc",1,39,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",101851,"Residential",687477,0,15779
"wi",1,41,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",24799,"Unknown",135713,1,173786
"ms",0,NA,1,"Non-Partisan","Likely African-American","Likely Af-Am (Modeled)","Independent",41764,"Apartment",150290,0,162260
"co",1,25,1,"Democratic","European","Irish","Democratic & Independent",123000,"Residential",321781,1,377576
"ga",1,18,0,"Democratic","European","Irish","Democratic",118000,"Residential",306856,0,281147
"nc",1,57,0,"Republican","European","German","Republican",244000,"Residential",645475,0,271962
"or",1,58,1,"Non-Partisan","European","Scots","Independent",70000,"Apartment",NA,0,219418
"ks",1,45,0,"Republican","European","English/Welsh","Republican",96000,"Residential",190029,0,353544
"ny",0,77,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Democratic & Independent",118499,"Apartment",539325,0,130515
"nh",1,57,1,"Republican","European","English/Welsh","Republican",250000,"Residential",499403,1,228507
"or",0,68,1,"Republican","European","German","Republican",123000,"Apartment",1174810,0,217985
"ok",1,87,1,"Republican","European","Scots","Republican",34000,"Residential",141572,1,359814
"ca",1,56,1,"Republican","European","English/Welsh","Republican",87925,"Unknown",387499,0,98439
"fl",0,42,1,"Registered Independent","Likely African-American","African or Af-Am Self Reported","Democratic & Republican & Independent",110763,"Unknown",284826,0,36643
"ca",1,50,0,"Democratic","","","Democratic",250000,"Residential",1649600,1,401541
"ar",1,37,1,"Republican","European","English/Welsh","Republican",96000,"Residential",103668,0,357046
"in",1,52,1,"Democratic","European","Italian","Democratic & Republican & Independent",74000,"Residential",290657,1,319910
"nj",0,28,1,"Non-Partisan","European","English/Welsh","Democratic & Independent",196000,"Residential",521341,1,238999
"ny",1,23,1,"Republican","","","Republican",143000,"Duplex",1066322,0,126987
"mi",0,62,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",38437,"Residential",40881,0,54984
"fl",1,37,1,"Non-Partisan","Likely African-American","African or Af-Am Self Reported","Independent",NA,"Apartment",NA,0,153506
"nc",1,19,1,"Non-Partisan","European","English/Welsh","Republican & Independent",68360,"Unknown",225259,0,23942
"nj",1,70,0,"Republican","European","Irish","Republican & Independent",96162,"Apartment",287500,1,120979
"il",1,45,0,"Republican","European","Scots","Republican",222000,"Residential",513046,0,345523
"tx",0,33,1,"Non-Partisan","European","Irish","Independent",55000,"Apartment",259573,0,194918
"ky",1,46,1,"Democratic","East and South Asian","Indian/Hindu","Democratic",250000,"Residential",522886,0,307500
"ca",0,37,1,"Democratic","","","Democratic",171000,"Residential",1181382,0,399269
"oh",1,80,1,"Republican","European","English/Welsh","Republican",NA,"Unknown",112500,1,315745
"ky",0,42,1,"Democratic","European","English/Welsh","Democratic",127000,"Residential",51388,0,46992
"in",0,59,1,"Democratic","European","Scots","Democratic",7000,"Apartment",128332,0,168340
"ca",1,21,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",42934,"Apartment",349999,0,202938
"tx",1,26,1,"Republican","European","Swedish","Republican",68000,"Residential",279242,0,367235
"md",1,NA,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",82653,"Apartment",253865,0,140126
"la",1,27,1,"Republican","European","French","Republican & Independent",76803,"Residential",195114,0,73706
"ok",0,45,1,"Democratic","European","English/Welsh","Democratic",NA,"Apartment",137500,0,187649
"ga",1,26,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",64610,"Apartment",206605,0,149881
"wa",0,36,0,"Non-Partisan","East and South Asian","Mongolian","Independent",95114,"Apartment",329292,0,221852
"ms",0,67,0,"Non-Partisan","European","English/Welsh","Republican & Independent",76000,"Residential",313462,0,305958
"pa",1,18,1,"Democratic","European","German","Democratic",150000,"Residential",153250,0,249250
"ca",1,86,1,"Democratic","European","Italian","Democratic",70000,"Residential",677573,0,391295
"va",1,71,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",62320,"Residential",182180,0,265010
"ca",1,44,0,"Democratic","","","Democratic",147000,"Residential",571565,0,400151
"mi",1,70,1,"Democratic","European","English/Welsh","Democratic",135000,"Residential",203716,0,324602
"ok",1,71,0,"Republican","European","Swedish","Republican",250000,"Residential",193195,0,76281
"ia",1,21,0,"Republican","European","English/Welsh","Republican",57713,"Residential",125710,0,59193
"fl",1,73,1,"Republican","European","English/Welsh","Republican",73000,"Residential",293657,1,296777
"ny",0,23,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",38000,"Apartment",625000,0,127861
"wi",1,26,1,"Democratic","European","German","Democratic & Republican & Independent",69000,"Residential",569405,0,59366
"il",0,52,1,"Non-Partisan","","","Independent",84214,"Residential",147660,0,67286
"ga",1,27,0,"Republican","Hispanic and Portuguese","Hispanic","Republican",136000,"Residential",411514,0,279025
"pa",1,20,1,"Republican","European","English/Welsh","Democratic & Republican & Independent",111992,"Residential",336718,0,254738
"nc",1,75,1,"Democratic","Other","Native American","Democratic",11000,"Residential",54708,0,271074
"az",0,72,0,"Republican","Hispanic and Portuguese","Hispanic","Republican & Independent",74000,"Residential",192671,0,91431
"ca",1,60,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",29000,"Residential",757455,0,387853
"oh",1,44,0,"Republican","European","English/Welsh","Republican",71854,"Unknown",168495,0,48626
"il",0,27,1,"Non-Partisan","European","French","Republican & Independent",107000,"Residential",347451,1,348341
"mo",0,79,0,"Republican","European","Irish","Republican",24000,"Residential",212985,1,352374
"ga",0,38,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",14000,"Apartment",384567,0,149849
"in",0,42,1,"Non-Partisan","European","English/Welsh","Independent",44387,"Apartment",89374,0,168216
"wi",1,79,1,"Non-Partisan","European","English/Welsh","Independent",18000,"Residential",112500,0,334503
"mi",1,60,1,"Non-Partisan","European","English/Welsh","Independent",80000,"Residential",115065,0,327367
"pa",1,42,1,"Democratic","European","Irish","Democratic & Independent",168000,"Residential",316898,0,256095
"ma",1,50,1,"Democratic","East and South Asian","Chinese","Democratic",199000,"Residential",771781,0,224435
"mo",1,63,0,"Republican","European","English/Welsh","Republican",48000,"Residential",153078,0,69506
"az",1,78,1,"Democratic","European","English/Welsh","Democratic",24000,"Condominium",287314,0,382732
"ny",1,31,1,"Non-Partisan","East and South Asian","Indian/Hindu","Independent",53255,"Apartment",422367,0,126498
"mi",1,35,1,"Democratic","European","French","Democratic",121590,"Residential",137500,1,323815
"ia",0,36,1,"Republican","European","German","Republican",47000,"Apartment",115556,1,172512
"ga",1,38,1,"Non-Partisan","East and South Asian","Indian/Hindu","Independent",174000,"Residential",533274,0,278873
"fl",1,78,1,"Democratic","European","English/Welsh","Democratic",88000,"Residential",131434,1,295885
"fl",1,51,1,"Republican","European","Scots","Republican",115000,"Residential",222340,0,285534
"nj",1,24,1,"Republican","European","English/Welsh","Republican & Independent",250000,"Residential",427763,0,235479
"ky",1,36,0,"Republican","European","Irish","Republican",NA,"Unknown",NA,0,47420
"mn",1,66,0,"Republican","European","English/Welsh","Republican",42000,"Apartment",355226,1,176329
"tx",1,77,1,"Republican","European","Scots","Republican",54000,"Residential",297129,1,361896
"ks",1,77,0,"Republican","European","English/Welsh","Democratic & Republican",97499,"Unknown",157026,0,72120
"va",0,37,1,"Democratic","East and South Asian","Korean","Democratic & Republican",250000,"Residential",754700,0,258095
"nv",1,55,0,"Republican","European","English/Welsh","Republican",105499,"Unknown",613317,0,387397
"ak",0,NA,0,"Democratic","European","Scots","Democratic",51443,"Apartment",266666,0,222963
"mi",0,64,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",18812,"Apartment",41052,0,170716
"nc",1,65,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",71000,"Residential",178778,0,22576
"il",1,70,0,"Democratic","European","German","Democratic",224000,"Apartment",296155,1,182258
"ca",1,28,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",19000,"Apartment",171354,0,212458
"ga",0,39,0,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",47295,"Apartment",76399,0,150172
"ca",1,69,1,"Republican","Hispanic and Portuguese","Hispanic","Republican",135592,"Unknown",711734,0,103100
"tn",0,29,0,"Non-Partisan","European","English/Welsh","Republican & Independent",105745,"Residential",270173,0,41746
"ca",1,61,1,"Democratic","East and South Asian","Vietnamese","Democratic",118000,"Residential",879139,0,401488
"mi",1,56,1,"Democratic","European","English/Welsh","Democratic",22999,"Residential",81332,0,58096
"la",0,63,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic & Independent",43000,"Residential",132356,1,354373
"pa",1,63,1,"Republican","European","English/Welsh","Republican",28000,"Residential",121619,0,250270
"ny",1,60,0,"Democratic","East and South Asian","Chinese","Democratic & Independent",41000,"Apartment",648437,1,127578
"fl",1,69,0,"Republican","European","German","Republican & Independent",101000,"Residential",256244,1,293017
"az",1,50,1,"Republican","Hispanic and Portuguese","Hispanic","Democratic & Republican",53000,"Residential",176856,0,384179
"ky",1,46,0,"Republican","European","English/Welsh","Democratic & Republican",142000,"Residential",287251,0,307571
"mn",1,44,1,"Republican","European","English/Welsh","Republican",197000,"Residential",675206,0,338136
