"state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Ethnic_Description","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation","row_index"
"tx",1,53,1,"Republican","European","English/Welsh","Republican",113000,"Residential",195565,0,369745
"wa",1,30,0,"Non-Partisan","European","Scots","Independent",64000,"Triplex",434980,0,221814
"wv",1,38,0,"Non-Partisan","","","Democratic & Independent",62044,"Residential",279463,0,268185
"fl",1,36,1,"Democratic","European","Italian","Democratic",119000,"Residential",348856,0,293679
"wa",1,65,0,"Democratic","European","Swedish","Democratic",44000,"Apartment",394999,0,221733
"fl",1,61,1,"Republican","European","German","Republican",118000,"Residential",220222,0,285318
"ma",1,67,1,"Non-Partisan","European","German","Independent",63000,"Condominium",448612,1,226297
"oh",1,77,1,"Democratic","European","Scots","Democratic",76000,"Residential",138956,1,49292
"mi",0,53,1,"Republican","European","English/Welsh","Republican",63000,"Duplex",146542,0,57215
"sc",1,57,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",79000,"Residential",188912,0,275510
"mi",0,34,1,"Democratic","European","English/Welsh","Democratic",45000,"Apartment",64544,0,171458
"wa",0,23,0,"Non-Partisan","European","English/Welsh","Independent",52631,"Apartment",222429,0,222467
"nj",1,31,1,"Republican","European","English/Welsh","Republican",59166,"Unknown",325713,0,5509
"ma",0,24,1,"Democratic","European","English/Welsh","Democratic & Republican",97000,"Residential",799230,0,225632
"nj",1,29,1,"Non-Partisan","European","Italian","Independent",NA,"Apartment",NA,0,118945
"ny",1,69,1,"Democratic","European","Austrian","Democratic",31000,"Condominium",123948,1,246399
"fl",0,31,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Democratic & Independent",87000,"Apartment",450437,0,154899
"nm",1,81,0,"Non-Partisan","European","Polish","Democratic & Independent",56000,"Residential",574032,0,385754
"ga",0,27,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",33072,"Unknown",148749,0,29955
"tx",1,39,0,"Democratic","European","German","Democratic",62352,"Residential",146458,0,86661
"nd",1,59,1,"Republican","European","English/Welsh","Republican",62000,"Residential",37500,1,340299
"ca",0,61,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",118000,"Apartment",562978,0,207260
"oh",1,53,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",7000,"Residential",71060,0,49317
"mo",0,87,1,"Democratic","Other","Ukrainian","Democratic",64807,"Apartment",212500,0,183612
"wa",1,57,1,"Republican","Hispanic and Portuguese","Hispanic","Republican",78000,"Residential",378547,0,412250
"md",1,43,1,"Democratic","Other","Russian (omitting former Soviet States)","Democratic",122499,"Apartment",287500,0,138868
"oh",1,76,0,"Democratic","European","English/Welsh","Democratic",111000,"Residential",409088,1,309453
"oh",1,66,1,"Democratic","European","German","Democratic",143000,"Residential",323304,0,313097
"ma",0,34,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",137221,"Unknown",427488,0,589
"de",1,26,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",NA,"Apartment",NA,0,137065
"oh",1,50,0,"Republican","European","Irish","Republican",118000,"Residential",368396,1,311648
"ca",1,63,0,"Democratic","European","English/Welsh","Democratic",115000,"Residential",579908,1,403552
"ca",1,61,1,"Democratic","European","English/Welsh","Democratic & Republican & Independent",250000,"Residential",123974,0,102685
"ca",1,88,0,"American Independent","European","English/Welsh","Independent",86428,"Apartment",478845,0,211286
"ca",1,37,0,"Republican","European","English/Welsh","Republican",138000,"Residential",417654,0,98845
"il",0,52,0,"Non-Partisan","European","Polish","Independent",63361,"Unknown",329761,0,66634
"fl",1,53,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Republican & Independent",144000,"Residential",623676,0,34733
"ny",1,43,0,"Other","Other","Ukrainian","Independent",75230,"Apartment",653845,0,127932
"ny",0,26,0,"Democratic","Other","Arab","Democratic",40624,"Apartment",465277,0,126430
"oh",1,73,1,"Republican","European","English/Welsh","Republican",65920,"Residential",154786,1,311331
"fl",1,54,1,"Republican","European","English/Welsh","Republican",78000,"Residential",140798,1,34830
"nh",1,NA,0,"Non-Partisan","East and South Asian","Chinese","Independent",NA,"Apartment",NA,0,115003
"oh",0,38,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",42499,"Apartment",92777,0,166003
"ca",1,70,0,"Non-Partisan","","","Democratic & Independent",56000,"Apartment",1000000,0,210476
"wa",1,36,1,"Democratic","European","English/Welsh","Democratic",173484,"Apartment",722355,0,220431
"mn",1,33,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",150000,"Residential",318872,0,335821
"mi",1,21,0,"Democratic","European","English/Welsh","Democratic",49699,"Triplex",111148,0,169714
"md",1,24,1,"Democratic","European","English/Welsh","Democratic & Republican & Independent",119000,"Residential",383379,0,259895
"fl",1,57,0,"Republican","Hispanic and Portuguese","Hispanic","Republican",43124,"Apartment",229285,0,153885
"ga",1,78,0,"Republican","European","English/Welsh","Republican",11000,"Residential",257994,1,284622
"oh",1,33,0,"Republican","European","English/Welsh","Republican",113000,"Residential",325000,1,316735
"ca",1,78,1,"Democratic","European","English/Welsh","Democratic",229254,"Residential",287500,1,392286
"in",1,58,0,"Democratic","European","English/Welsh","Democratic & Independent",113000,"Residential",189786,0,319765
"az",1,53,1,"Democratic","Hispanic and Portuguese","Portuguese","Democratic & Republican",87000,"Residential",277260,0,383452
"ga",0,25,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",NA,"Apartment",NA,0,147039
"in",0,34,0,"Democratic","European","English/Welsh","Democratic",68018,"Apartment",137583,0,167985
"az",0,26,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Independent",147000,"Residential",701526,0,91899
"va",1,52,1,"Republican","European","English/Welsh","Republican",103185,"Residential",357142,1,19509
"fl",1,75,1,"Republican","European","English/Welsh","Republican",250000,"Residential",457410,1,294461
"or",1,41,1,"Republican","Hispanic and Portuguese","Hispanic","Republican",119443,"Unknown",431817,0,106986
"ia",1,22,0,"Republican","European","English/Welsh","Republican & Independent",70990,"Unknown",150520,0,58323
"la",1,64,1,"Republican","European","English/Welsh","Republican",81060,"Apartment",283749,0,185344
"ca",1,21,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",38332,"Unknown",226666,0,104472
"ca",1,32,0,"Non-Partisan","Other","Armenian","Independent",140000,"Residential",816854,0,389773
"ny",1,43,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",159000,"Apartment",736690,0,128890
"al",1,33,0,"Democratic","European","English/Welsh","Democratic & Republican",23000,"Residential",124308,0,299139
"fl",1,52,1,"Republican","European","English/Welsh","Republican",94000,"Residential",458951,0,289252
"mo",1,62,0,"Democratic","","","Democratic",91158,"Unknown",166740,0,68982
"ms",1,35,0,"Non-Partisan","European","Irish","Democratic & Independent",48610,"Unknown",98207,0,45145
"oh",1,55,1,"Democratic","European","Irish","Democratic & Independent",100529,"Residential",264855,0,309350
"ia",1,60,1,"Republican","European","English/Welsh","Democratic & Republican",78000,"Residential",148342,1,329795
"ia",1,62,1,"Democratic","European","English/Welsh","Democratic & Independent",119000,"Residential",222309,0,331177
"ga",1,74,0,"Republican","European","German","Republican",233000,"Residential",572280,0,283470
"sc",1,62,1,"Democratic","European","English/Welsh","Democratic",11000,"Residential",101395,0,277046
"nc",1,63,0,"Republican","European","Irish","Republican",62000,"Residential",161896,1,268500
"ga",0,60,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",30977,"Unknown",51428,1,31752
"ca",1,74,1,"Democratic","European","Irish","Democratic",69000,"Residential",528414,1,400973
"wy",1,65,1,"Democratic","European","English/Welsh","Democratic",118000,"Residential",266737,0,379094
"ok",1,79,1,"Democratic","European","English/Welsh","Democratic",36000,"Residential",96991,1,358706
"ca",0,39,0,"Republican","European","English/Welsh","Democratic & Republican",47499,"Residential",592117,0,99558
"md",1,20,1,"Non-Partisan","Likely African-American","Likely Af-Am (Modeled)","Democratic & Independent",25000,"Apartment",210155,0,139982
"in",1,45,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",144000,"Residential",413153,0,319646
"ca",1,38,1,"American Independent","European","English/Welsh","Republican & Independent",250000,"Apartment",1575301,0,206529
"ky",0,69,1,"Republican","European","English/Welsh","Republican",55693,"Unknown",74399,0,47152
"pa",1,68,0,"Republican","European","English/Welsh","Republican",55000,"Residential",134526,0,11702
"md",0,25,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",128000,"Apartment",195312,0,138298
"ca",1,53,0,"Other","European","English/Welsh","Independent",NA,"Apartment",112500,0,209717
"fl",1,45,0,"Republican","European","English/Welsh","Republican & Independent",128332,"Unknown",448147,0,39173
"mn",1,27,0,"Democratic","European","German","Democratic & Republican",139000,"Residential",433533,0,63098
"md",1,52,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",171000,"Residential",391454,0,258986
"mn",0,22,0,"Non-Partisan","Other","Turkmenistan","Independent",76922,"Apartment",174912,0,177493
"tx",1,25,1,"Non-Partisan","European","Scots","Independent",73000,"Residential",175363,0,365968
"md",0,23,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",12218,"Unknown",107691,0,17388
"ky",1,83,0,"Democratic","European","Scots","Democratic",48000,"Residential",87500,1,308307
"ca",1,47,1,"American Independent","European","English/Welsh","Independent",244000,"Residential",2100674,0,103993
"nc",1,51,0,"Non-Partisan","European","French","Republican & Independent",72187,"Residential",187500,0,269869
"pa",1,66,1,"Republican","European","Swedish","Republican & Independent",123000,"Residential",241722,0,12782
"wa",0,37,0,"Non-Partisan","European","German","Independent",68099,"Residential",319907,0,412073
"ga",1,32,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",51000,"Residential",161786,0,28677
"ky",1,74,0,"Democratic","European","English/Welsh","Democratic",NA,"Residential",137500,0,308416
"sc",1,19,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",86000,"Residential",93947,0,27463
"ut",1,47,1,"Republican","European","English/Welsh","Republican",125882,"Apartment",428570,1,198128
"pa",1,58,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic & Independent",28000,"Residential",124800,0,254928
"ny",0,86,1,"Democratic","European","German","Democratic",8000,"Apartment",87500,0,124784
"ma",1,75,0,"Non-Partisan","European","English/Welsh","Independent",21000,"Residential",NA,0,304
"ar",1,56,1,"Republican","European","English/Welsh","Republican & Independent",57000,"Residential",80898,1,357026
"ny",1,30,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",250000,"Triplex",765110,0,130076
"ky",0,56,0,"Democratic","European","English/Welsh","Democratic",19326,"Apartment",67666,0,162676
"tx",1,61,1,"Republican","European","English/Welsh","Republican",66000,"Residential",62500,0,363722
"ut",1,78,1,"Republican","Hispanic and Portuguese","Hispanic","Republican & Independent",138000,"Residential",334682,0,380776
"ky",1,62,1,"Democratic","European","English/Welsh","Democratic",61000,"Residential",251974,0,307282
"wi",1,51,0,"Republican","European","German","Republican",250000,"Residential",459862,0,333595
"md",1,57,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",138102,"Apartment",424376,0,138014
"nj",1,22,0,"Republican","European","Italian","Republican & Independent",208000,"Residential",741715,0,5259
"ny",1,38,1,"Non-Partisan","","","Democratic & Independent",19000,"Apartment",1950000,0,122771
"mi",1,69,0,"Democratic","European","English/Welsh","Democratic",24000,"Apartment",NA,0,171506
